0.000000	0.000000
0.020000	3.001507
0.040000	3.005754
0.060000	3.016075
0.080000	3.035970
0.100000	3.069907
0.120000	3.124395
0.140000	3.210184
0.160000	3.347474
0.180000	3.580896
0.200000	4.038681
0.220000	5.429165
0.240000	4.396091
0.260000	2.184503
0.280000	-0.255148
0.300000	-0.369993
0.320000	0.733496
0.340000	1.149794
0.360000	1.375896
0.380000	1.518162
0.400000	1.615490
0.420000	1.685839
0.440000	1.738724
0.460000	1.779678
0.480000	1.812140
0.500000	1.838361
0.520000	1.859874
0.540000	1.877760
0.560000	1.892799
0.580000	1.905570
0.600000	1.916509
0.620000	1.925951
0.640000	1.934158
0.660000	1.941334
0.680000	1.947645
0.700000	1.953223
0.720000	1.958177
0.740000	1.962595
0.760000	1.966550
0.780000	1.970105
0.800000	1.973309
0.820000	1.976208
0.840000	1.978837
0.860000	1.981229
0.880000	1.983410
0.900000	1.985403
0.920000	1.987229
0.940000	1.988906
0.960000	1.990448
0.980000	1.991869
1.000000	1.993181
